dt_iso,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds_all,weather_description
2012-10-10 05:00:00 +0000 UTC,282.45,282.04,283.15,1021,87,1,360,90,overcast clouds
2012-10-10 06:00:00 +0000 UTC,282.25,281.48,283.15,1021,87,0,0,90,overcast clouds
2012-10-10 07:00:00 +0000 UTC,282.25,281.48,283.15,1021,87,0,0,90,overcast clouds
2012-10-10 08:00:00 +0000 UTC,282.45,282.04,283.15,1021,87,0,0,90,overcast clouds
2012-10-10 11:00:00 +0000 UTC,282.76,282.04,283.15,1021,87,0,0,90,overcast clouds
2012-10-10 13:00:00 +0000 UTC,283.29,282.59,284.15,1022,81,1,30,90,overcast clouds
2012-10-10 14:00:00 +0000 UTC,284,283.71,284.15,1022,87,0,0,90,overcast clouds
2012-10-10 15:00:00 +0000 UTC,284.39,284.15,284.82,1093,90,0,57,15,sky is clear
2012-10-10 16:00:00 +0000 UTC,285.23,285.15,285.37,1093,85,0,89,15,sky is clear
2012-10-10 17:00:00 +0000 UTC,286.07,285.93,286.15,1020,71,2,260,90,overcast clouds
2012-10-10 18:00:00 +0000 UTC,286.72,285.93,287.15,1020,62,2,220,90,overcast clouds
2012-10-10 19:00:00 +0000 UTC,286.91,286.48,287.15,1020,67,1,270,90,overcast clouds
2012-10-10 20:00:00 +0000 UTC,287.7,287.15,288.71,1093,73,0,184,14,sky is clear
2012-10-10 21:00:00 +0000 UTC,287.59,287.59,292.1,1093,75,0,136,14,sky is clear
2012-10-10 23:00:00 +0000 UTC,290.8,290.8,292.1,994,48,1,264,14,sky is clear
2012-10-11 00:00:00 +0000 UTC,290.8,290.8,292.1,994,48,1,264,14,sky is clear
2012-10-11 01:00:00 +0000 UTC,290.8,290.8,292.1,994,48,1,264,14,sky is clear
2012-10-11 02:00:00 +0000 UTC,290.8,290.8,292.1,994,48,1,264,14,sky is clear
2012-10-11 03:00:00 +0000 UTC,290.8,290.8,292.1,994,48,1,264,14,sky is clear
2012-10-11 04:00:00 +0000 UTC,290.8,290.8,292.1,994,48,1,264,14,sky is clear
2012-10-11 06:00:00 +0000 UTC,278.59,278.15,279.15,1019,87,0,0,0,mist
2012-10-11 08:00:00 +0000 UTC,279.33,278.71,280.15,1018,93,0,0,0,fog
2012-10-11 09:00:00 +0000 UTC,279.33,278.71,280.15,1093,96,0,170,0,sky is clear
2012-10-11 10:00:00 +0000 UTC,279.64,278.71,280.15,1019,100,0,0,0,fog
2012-10-11 11:00:00 +0000 UTC,280.42,280.15,280.93,1020,100,0,0,0,mist
2012-10-11 12:00:00 +0000 UTC,280.62,280.15,281.48,1092,96,0,159,36,sky is clear
2012-10-11 13:00:00 +0000 UTC,281.99,281.15,282.59,1092,97,0,159,36,sky is clear
2012-10-11 14:00:00 +0000 UTC,285.03,284.82,285.15,1021,87,2,200,90,overcast clouds
2012-10-11 15:00:00 +0000 UTC,285.42,285.15,285.93,1092,95,0,136,36,sky is clear
2012-10-11 19:00:00 +0000 UTC,290.5,290.4,291.2,996,63,4,284,73,sky is clear
2012-10-11 20:00:00 +0000 UTC,290.5,290.4,291.2,996,63,4,284,73,sky is clear
2012-10-11 21:00:00 +0000 UTC,290.4,289.15,291.15,1020,77,3,220,90,overcast clouds
2012-10-11 22:00:00 +0000 UTC,289.11,288.15,290.15,1020,72,3,260,40,scattered clouds
2012-10-11 23:00:00 +0000 UTC,287.82,285.37,289.15,1021,67,2,270,75,broken clouds
2012-10-12 00:00:00 +0000 UTC,286.16,284.26,288.15,1021,77,1,300,75,broken clouds
2012-10-12 01:00:00 +0000 UTC,284.78,283.15,286.15,1022,76,2,280,20,few clouds
2012-10-12 02:00:00 +0000 UTC,283.24,281.48,285.15,1023,81,0,0,1,sky is clear
2012-10-12 03:00:00 +0000 UTC,282.2,280.37,284.15,1023,81,0,0,1,sky is clear
2012-10-12 04:00:00 +0000 UTC,281.33,279.82,282.15,1024,87,0,0,1,sky is clear
2012-10-12 05:00:00 +0000 UTC,280.29,278.71,281.15,1024,93,0,0,73,mist
2012-10-12 06:00:00 +0000 UTC,279.45,278.15,280.15,1024,93,0,0,0,mist
2012-10-12 07:00:00 +0000 UTC,278.27,277.59,279.15,1024,93,0,0,0,mist
2012-10-12 08:00:00 +0000 UTC,278.75,277.04,280.15,1024,93,2,10,0,mist
2012-10-12 09:00:00 +0000 UTC,278.43,277.04,280.15,1024,93,2,30,1,sky is clear
2012-10-12 10:00:00 +0000 UTC,277.9,276.48,279.15,1024,87,1,30,1,sky is clear
2012-10-12 11:00:00 +0000 UTC,277.39,275.93,279.15,1025,87,0,0,1,sky is clear
2012-10-12 12:00:00 +0000 UTC,278.17,277.15,279.15,1025,87,2,10,1,sky is clear
2012-10-12 13:00:00 +0000 UTC,280.62,280.15,281.48,1025,87,1,80,1,sky is clear
2012-10-12 14:00:00 +0000 UTC,283.54,283.15,284.26,1026,76,2,50,1,sky is clear
2012-10-12 15:00:00 +0000 UTC,285.28,284.15,286.48,1026,76,0,0,1,sky is clear
2012-10-12 16:00:00 +0000 UTC,287.5,287.15,288.15,1026,62,0,0,1,sky is clear
2012-10-12 17:00:00 +0000 UTC,289.39,289.15,289.82,1025,55,2,240,1,sky is clear
2012-10-12 18:00:00 +0000 UTC,290.36,289.15,292.59,1093,54,0,134,0,sky is clear
2012-10-12 19:00:00 +0000 UTC,292.38,291.15,293.71,1093,51,0,153,0,sky is clear
2012-10-12 20:00:00 +0000 UTC,294.02,293.15,295.15,1023,35,2,300,1,sky is clear
2012-10-12 21:00:00 +0000 UTC,292.95,292.59,293.15,1023,34,4,280,20,few clouds
2012-10-12 22:00:00 +0000 UTC,292.23,291.48,293.15,1023,42,3,260,40,scattered clouds
2012-10-12 23:00:00 +0000 UTC,289.9,287.59,291.15,1023,48,3,230,90,overcast clouds
2012-10-13 04:00:00 +0000 UTC,292.4,292.4,293.2,1000,38,2,257,0,sky is clear
2012-10-13 05:00:00 +0000 UTC,287.15,287.15,287.15,1024,71,2,220,90,overcast clouds
2012-10-13 06:00:00 +0000 UTC,286.68,286.15,287.15,1023,67,0,0,90,overcast clouds
2012-10-13 07:00:00 +0000 UTC,286.22,285.15,287.15,1023,67,0,0,40,scattered clouds
2012-10-13 08:00:00 +0000 UTC,285.75,284.15,287.15,1023,71,0,0,75,broken clouds
2012-10-13 11:00:00 +0000 UTC,285.71,284.82,287.15,1024,76,0,0,1,light rain
2012-10-13 12:00:00 +0000 UTC,285.37,284.82,286.15,1024,82,1,150,90,overcast clouds
2012-10-13 13:00:00 +0000 UTC,286.41,285.93,287.15,1025,76,0,0,90,overcast clouds
2012-10-13 14:00:00 +0000 UTC,287.64,287.15,288.15,1025,77,2,40,75,broken clouds
2012-10-13 15:00:00 +0000 UTC,289.72,289.15,290.15,1025,67,0,0,75,broken clouds
2012-10-13 16:00:00 +0000 UTC,290.95,290.15,291.48,1025,59,1,310,90,overcast clouds
2012-10-13 17:00:00 +0000 UTC,291.6,291.15,292.15,1025,55,1,0,75,broken clouds
2012-10-13 18:00:00 +0000 UTC,291.91,291.48,292.15,1025,55,0,0,90,overcast clouds
2012-10-13 19:00:00 +0000 UTC,291.41,290.93,292.15,1025,55,1,300,90,overcast clouds
2012-10-13 20:00:00 +0000 UTC,291.41,290.93,292.15,1137,77,0,192,72,sky is clear
2012-10-13 21:00:00 +0000 UTC,290.88,290.37,291.15,1025,63,1,0,90,overcast clouds
2012-10-13 22:00:00 +0000 UTC,290.88,290.37,291.15,1025,68,2,10,90,overcast clouds
2012-10-13 23:00:00 +0000 UTC,289.98,288.71,291.15,1025,68,1,350,90,overcast clouds
2012-10-14 00:00:00 +0000 UTC,289.11,288.15,290.15,1025,72,2,360,90,overcast clouds
2012-10-14 01:00:00 +0000 UTC,288.94,287.59,290.15,1025,67,0,0,90,overcast clouds
2012-10-14 02:00:00 +0000 UTC,288.6,287.59,289.15,1025,77,2,10,90,overcast clouds
2012-10-14 03:00:00 +0000 UTC,288.1,287.04,289.15,1026,72,2,20,90,overcast clouds
2012-10-14 04:00:00 +0000 UTC,287.03,285.93,288.15,1026,82,2,30,40,scattered clouds
2012-10-14 05:00:00 +0000 UTC,286.02,284.82,287.15,1026,82,2,10,20,few clouds
2012-10-14 06:00:00 +0000 UTC,284.98,283.71,286.15,1026,87,2,350,20,few clouds
